Title,Genre,Director,Year
Inception,Sci-Fi,Christopher Nolan,2010
The Godfather,Crime,Francis Ford Coppola,1972
The Dark Knight,Action,Christopher Nolan,2008
Pulp Fiction,Crime,Quentin Tarantino,1994
Schindler's List,Drama,Steven Spielberg,1993
The Lord of the Rings: The Return of the King,Fantasy,Peter Jackson,2003
Forrest Gump,Drama,Robert Zemeckis,1994
Fight Club,Drama,David Fincher,1999
The Matrix,Sci-Fi,"Lana Wachowski, Lilly Wachowski",1999
Goodfellas,Crime,Martin Scorsese,1990
The Shawshank Redemption,Drama,Frank Darabont,1994
Star Wars: Episode IV - A New Hope,Sci-Fi,George Lucas,1977
The Silence of the Lambs,Thriller,Jonathan Demme,1991
Se7en,Thriller,David Fincher,1995
Interstellar,Sci-Fi,Christopher Nolan,2014
Parasite,Thriller,Bong Joon-ho,2019
The Lion King,Animation,"Roger Allers, Rob Minkoff",1994
Back to the Future,Sci-Fi,Robert Zemeckis,1985
Gladiator,Action,Ridley Scott,2000
Saving Private Ryan,War,Steven Spielberg,1998
